    0.438634490966796875E+01    0.707013654708862305E+01    0.514729636907577515E+01    0.163241690179338828E+01    0.341156007411595708E+01    0.235630333423614502E+00    0.102282774389342013E+02    0.200716626644134533E+00    0.289270155495405223E+01    0.154386157478610127E+02    0.154388148545024144E+02   -0.744440071921381218E+03   -0.690775511231546968E+01    1
    0.289351177215576172E+01    0.187765884399414062E+01    0.159759658575057983E+01    0.453145811108313268E+01    0.469743871397453194E+01    0.365767896175384521E+00    0.268666521681263930E+02    0.808164602518081643E+00    0.227361722761392571E+01    0.158588879634866657E+02    0.158580529036048912E+02   -0.744440071921381218E+03   -0.690875511231548245E+01    1
    0.235797071456909180E+01    0.660936832427978516E+00    0.741550597548484802E+01    0.213405810482689695E+01    0.221588799797900071E+01    0.164338612556457542E+00    0.766068132075712160E+01    0.419639599323272772E+00    0.287774589669704461E+01    0.153176356155302287E+02    0.153138112624832967E+02   -0.744440071921381218E+03   -0.690975511231547301E+01    1
    0.200810432434082031E+00    0.318028879165649414E+01    0.286278474330902100E+01    0.577879596167695198E+01    0.596307471446206971E+01    0.347597146034240745E+00    0.227449998471590886E+01    0.858157974481582597E+00    0.227610190087556807E+01    0.152188268255227168E+02    0.152047329130798108E+02   -0.743746924740821328E+03   -0.691075511231547601E+01    1
    0.632141017913818359E+01    0.186732959747314453E+01    0.204888495802879333E+01    0.322183656959403564E+01    0.430977692854878480E+01    0.342116284370422352E+00    0.230223396429621596E+01    0.473982173204422041E+00    0.292598716908693302E+01    0.152059526473106317E+02    0.152441362956752950E+02   -0.743341459632713168E+03   -0.691175511231546658E+01    1
    0.814306735992431641E+00    0.501595258712768555E+01    0.177537518739700317E+01    0.214311296302516796E+01    0.361732438094644859E+01    0.274048185348510720E+00    0.345922668345151010E+02    0.474970084428787298E+00    0.258005972343683254E+01    0.159677388619565672E+02    0.159679313711811499E+02   -0.743053777560261324E+03   -0.691275511231547579E+01    1
    0.424774312973022461E+01    0.717443847656250000E+01    0.229903179407119751E+01    0.157312554031681850E+01    0.189212411832871275E+01    0.285951471328735329E+00    0.825606957851138645E+01    0.959124636650085405E+00    0.296075093609094608E+01    0.153490023442287580E+02    0.153470561036284838E+02   -0.742648312452153164E+03   -0.691375511231547435E+01    1
    0.248263216018676758E+01    0.287575674057006836E+01    0.768211755156517029E+01    0.323174933695285960E+01    0.717048614021412689E+01    0.504801094532012939E+00    0.162192738533752028E+02    0.429309874773025513E+00    0.233094860881567012E+01    0.156385141264835514E+02    0.156387339284892164E+02   -0.741144235055376953E+03   -0.691475511231548357E+01    1
    0.665025854110717773E+01    0.693882369995117188E+01    0.605677175521850586E+01    0.198040551037927504E+01    0.527886139364158868E+01    0.338140285015106179E+00    0.171750949761415512E+02    0.135515290498733537E+00    0.293509746903181057E+01    0.156648364382254304E+02    0.156632787527498198E+02   -0.740414720230646139E+03   -0.691575511231552209E+01    1
    0.364247560501098633E+01    0.334599494934082031E+01    0.337807509303092957E+01    0.225561982593002419E+01    0.392459700432034309E+01    0.503375840187072709E+00    0.297126498895022273E+01    0.764853149652481079E+00    0.243671619033813469E+01    0.151672953969500366E+02    0.151243605919314899E+02   -0.739886195029780652E+03   -0.691675511231554463E+01    1
