    0.391382267400818107E+00    0.372346045824154182E+01    0.517850188750383023E+01    0.484091401157638046E+01    0.671811227664263377E+01    0.417660082454111348E+00    0.249496267148430340E+01    0.724048568839260831E+00    0.271906923045376558E+01    0.150687917814759142E+02    0.149383069624859406E+02   -0.814106095701921184E+01
    0.121537571158038449E+01    0.731196081629969896E+01    0.684108893377180749E+01    0.284586300076348486E+01    0.379559659234793090E+01    0.335630457400217908E+00    0.176733749175059440E+01    0.441330395851634916E+00    0.296409231659757166E+01    0.151855319628693692E+02    0.147878164341560581E+02   -0.671460291287568989E+01
    0.460519664730501788E+01    0.722003899928020321E+01    0.314023505419748439E+01    0.196386351026610129E+01    0.824091130260687521E+01    0.381446570177146893E+00    0.159648734171004136E+01    0.699684624130011645E+00    0.260742407439228385E+01    0.148831831645196271E+02    0.147084841047737296E+02   -0.661265301576344289E+01
    0.683284888924759937E+01    0.479469454627112324E+01    0.431919790353150113E+01    0.175616953033163536E+01    0.230735738163623472E+01    0.391433430190384790E+00    0.235550585624564990E+01    0.334700615960428105E+00    0.246382148392744593E+01    0.153446195788516508E+02    0.148983909527206091E+02   -0.560985376505268540E+01
    0.455099575780260501E+01    0.389169587205100065E+01    0.491997395089874257E+01    0.584033325305203022E+01    0.811001257893088123E+01    0.432073838483596151E+00    0.306082554270580331E+01    0.536935546013004861E+00    0.224960349145321326E+01    0.151983039703329652E+02    0.149895445111449419E+02   -0.554882018898830243E+01
    0.509668256548096199E+01    0.507193454078207839E+01    0.674076203742785474E+01    0.455750530926438469E+01    0.741094622203331443E+01    0.319928388111242468E+00    0.218569479223387919E+01    0.952169697150128891E+00    0.227380436773881867E+01    0.152096812706669251E+02    0.148568717119332074E+02   -0.534363153895036636E+01
    0.621089756897453515E+01    0.879201563146155829E+00    0.223019861502406025E+01    0.199873888071800510E+01    0.415050682560898743E+01    0.213931584826012572E+00    0.154561479518678824E+01    0.606162726829467480E+00    0.247298705289388820E+01    0.151148133877480859E+02    0.148367018168405629E+02   -0.508837763876921212E+01
    0.221580767971584713E+00    0.163721335388287881E+01    0.229050137753759842E+01    0.158283577426880040E+01    0.755542814966903986E+01    0.302168882265483385E+00    0.263348394317224876E+01    0.973732514182806153E+00    0.269394534999655821E+01    0.153115993734907061E+02    0.149559184015526689E+02   -0.502609335602310203E+01
    0.780284013244064156E+00    0.573435518642484787E+01    0.579986196787979580E+01    0.312457103075496212E+01    0.363905762269703237E+01    0.413235474960850224E+00    0.173777129301500577E+01    0.856337439157368263E+00    0.296776059421540372E+01    0.148463802038243564E+02    0.147609561285120456E+02   -0.501815849743590725E+01
    0.129887116515892553E+01    0.749729484329231255E+01    0.405685071766657934E+01    0.401452464617105953E+01    0.734250466151000047E+01    0.414116919803873218E+00    0.299094234234046397E+01    0.378609260172880990E+00    0.300079615586305692E+01    0.153238239638981355E+02    0.149871023889106691E+02   -0.493532363656258255E+01
    0.581727179444540554E+00    0.739862858033974469E+01    0.207033115190469985E+01    0.426388319535961990E+01    0.472538282900319828E+01    0.442238054983682294E+00    0.156219380799405272E+01    0.356763330940000789E+00    0.238943654822480100E+01    0.147486911435364068E+02    0.147063420311594211E+02   -0.488227483622705538E+01
    0.479389450353728197E+01    0.395109766895751546E+01    0.350927779586430377E+01    0.341913884190611528E+01    0.741055077394037465E+01    0.327100375714770686E+00    0.203924819598283857E+01    0.120403433873765550E+00    0.231158288338991946E+01    0.152081730062902913E+02    0.148698313892226714E+02   -0.484243620293101351E+01
    0.681686240203781546E+00    0.766848742773069247E+00    0.758632454036169435E+01    0.169277916264855732E+01    0.593761371828529061E+01    0.388029481208316818E+00    0.193447316988981566E+01    0.368324304646236000E+00    0.223117007905520159E+01    0.150624018706109037E+02    0.148084512111169602E+02   -0.481980179286308807E+01
    0.619106049276990156E+01    0.591507477401616022E-01    0.203582523325343079E+01    0.192902333297343431E+01    0.330591173805152971E+01    0.332193816485401805E+00    0.233660043731885025E+01    0.981808266764940374E+00    0.233412980789886282E+01    0.151893090955337282E+02    0.148742735039223053E+02   -0.472593618626949308E+01
    0.672010387122578834E+01    0.577564425220350142E+01    0.539232078389725977E+01    0.261143126648377599E+01    0.712497118318366507E+01    0.484224995858403839E+00    0.349150517562109064E+01    0.504844920459010194E+00    0.270831085427594997E+01    0.152370106519372968E+02    0.150445743458881651E+02   -0.465356022975979400E+01
    0.652257153490060837E+01    0.920330499990642092E+00    0.143419714563053291E+01    0.239455028214563281E+01    0.749202011532530587E+01    0.319750473986813000E+00    0.246972553845323084E+01    0.703093101554368660E+00    0.223728512585321804E+01    0.153028704479550797E+02    0.149519647621234508E+02   -0.460735500098733564E+01
    0.563551666463408285E+01    0.632532263987171461E+01    0.347662792906138352E+01    0.395522343651140762E+01    0.674345705352652036E+01    0.360013993740407434E+00    0.252537826020470346E+01    0.315871330219557933E+00    0.270488906012479990E+01    0.151798503166039591E+02    0.149216705558653384E+02   -0.456458691474640332E+01
    0.569334235554168178E+01    0.550714347116102143E+01    0.764985426253922629E+01    0.329695941273226900E+01    0.554787893014404876E+01    0.259339633380186396E+00    0.266034978813625855E+01    0.827661274241743627E+00    0.240161106116422296E+01    0.152467682602713541E+02    0.149041725765332664E+02   -0.435707991251438020E+01
    0.662052966909368390E+01    0.791546422093454627E+01    0.326856850838604496E+01    0.330061645705230289E+01    0.707338999198615070E+01    0.386196475751162782E+00    0.279789144488810626E+01    0.484009108179050962E+00    0.237253903489468065E+01    0.153953639267175948E+02    0.149738797771228480E+02   -0.433711606333106037E+01
    0.151574150746454861E+01    0.389778916383190399E+01    0.735132072635233147E+01    0.345374285005911386E+01    0.398028494170250724E+01    0.313169163203618095E+00    0.229258220835073168E+01    0.301727211129576456E+00    0.289921647800651661E+01    0.153022853335252265E+02    0.149201237827796120E+02   -0.433580946357959096E+01
    0.153416816648767829E+01    0.779474007628800081E+01    0.500270430200221750E+01    0.660290740031472723E+01    0.663840925634682044E+01    0.440178855741444885E+00    0.265716983208077728E+01    0.686183898281603644E+00    0.296030226111646222E+01    0.153116274732290876E+02    0.149350130054111627E+02   -0.433552530183903873E+01
    0.261626935263705906E+01    0.555418960160409991E+01    0.645511615354309676E+01    0.374278241261855271E+01    0.581282184355302345E+01    0.431536174850879695E+00    0.280546020274433872E+01    0.474862009330173307E+00    0.253117710395004769E+01    0.153230822116884156E+02    0.149651206431723320E+02   -0.433241412036863416E+01
