    0.203909826278686523E+01    0.355300617218017578E+01    0.488703581690788269E+01    0.707590775744821876E+01    0.807949856736863836E+01    0.340062606334686268E+00    0.548010144120362153E+01    0.869940221309661865E+00    0.226455550783872583E+01    0.153357796621520297E+02    0.100000000000000000E+01
    0.227784395217895508E+01    0.745019340515136719E+01    0.196049901843070984E+01    0.760356970166326196E+01    0.782410081273627611E+01    0.147877538204193110E+00    0.697664977624633309E+01    0.797148770093917824E+00    0.273041322320699686E+01    0.152990884401443683E+02    0.100000000000000000E+01
    0.218845462799072266E+01    0.277427673339843750E+01    0.241749826073646545E+01    0.400649295707163944E+01    0.726356401943904650E+01    0.252927505970001243E+00    0.950949089455429686E+01    0.789819419384002686E+00    0.286848717421293253E+01    0.154819853379047316E+02    0.100000000000000000E+01
    0.173495054244995117E+01    0.403365612030029297E+00    0.732330951094627380E+01    0.576304345606651758E+01    0.691756081486048124E+01    0.420387864112854004E+00    0.434524544182447325E+01    0.732165068387985229E+00    0.284978881871700285E+01    0.153035585018086167E+02    0.100000000000000000E+01
    0.393501281738281250E+01    0.517271232604980469E+01    0.225092011690139771E+01    0.758382318690868384E+01    0.771083026103234737E+01    0.265107309818267800E+00    0.327626831735849589E+01    0.787592756748199507E+00    0.253701946425437930E+01    0.150236087598978720E+02    0.100000000000000000E+01
    0.170446729660034180E+01    0.361815547943115234E+01    0.744764733314514160E+01    0.237075890740032147E+01    0.809582920986102295E+01    0.287991273403167714E+00    0.305684711277746901E+01    0.450223755836486883E+00    0.288663338571786898E+01    0.151295883505718862E+02    0.100000000000000000E+01
    0.368391847610473633E+01    0.180290460586547852E+01    0.785483437776565552E+01    0.549984706759868924E+01    0.796902007598396978E+01    0.158248782157897949E+00    0.153203325870668650E+01    0.796231561899185203E+00    0.280701645892858487E+01    0.149933658408926576E+02    0.100000000000000000E+01
    0.259629297256469727E+01    0.478956937789916992E+01    0.706606823205947876E+01    0.273429603220369000E+01    0.338053968978038100E+01    0.384610772132873535E+00    0.169771774321418167E+01    0.675633114576339677E+00    0.281307045894861218E+01    0.149872610206554455E+02    0.100000000000000000E+01
    0.194126892089843750E+01    0.391990947723388672E+01    0.195429104566574097E+01    0.222567722201116158E+01    0.682608022765061673E+01    0.177479934692382824E+00    0.221114218574250332E+01    0.203852611780166615E+00    0.270266301578283308E+01    0.150927732767375602E+02    0.100000000000000000E+01
    0.280836057662963867E+01    0.504497623443603516E+01    0.103406000137329102E+01    0.353850376276651435E+01    0.397038552244204102E+01    0.151767992973327631E+00    0.300467939477973456E+01    0.916714888811111406E+00    0.228752486991882309E+01    0.153323405922381166E+02    0.100000000000000000E+01
    0.137685871124267578E+01    0.354209661483764648E+01    0.219042199850082397E+01    0.324899837717982276E+01    0.636445382117206115E+01    0.301740312576293968E+00    0.712590776963374584E+01    0.601881968975067183E+00    0.254165001469850527E+01    0.156368592371256785E+02    0.100000000000000000E+01
    0.186816263198852539E+01    0.623528289794921875E+01    0.736594098806381226E+01    0.713417854507254301E+01    0.768902750463454243E+01    0.495859861373901367E+00    0.222246248235196342E+01    0.586066538095474265E+00    0.284386127895116791E+01    0.151280676403962140E+02    0.100000000000000000E+01
    0.211665058135986328E+01    0.105239391326904297E+00    0.300541701912879944E+01    0.569040024920099441E+01    0.589886254122953080E+01    0.200313794612884510E+00    0.181665023525632030E+01    0.207200813293457020E+00    0.293348055905103688E+01    0.152275959325594403E+02    0.100000000000000000E+01
    0.409938955307006836E+01    0.239120626449584961E+01    0.177729922533035278E+01    0.200099574149898407E+01    0.704704029622296879E+01    0.448949956893920921E+00    0.184053322195566782E+01    0.914049524068832442E+00    0.246633091479539868E+01    0.154599643286034549E+02    0.100000000000000000E+01
    0.115229701995849609E+01    0.450777721405029297E+01    0.369701924920082092E+01    0.447410869534672351E+01    0.512994700389929115E+01    0.368448710441589333E+00    0.103588845774899116E+02    0.800715678930282615E+00    0.284849977427721024E+01    0.155142453685136896E+02    0.100000000000000000E+01
    0.245839118957519531E+01    0.206086206436157227E+01    0.778185325860977173E+01    0.303131518947299039E+01    0.545646206548550783E+01    0.455765342712402322E+00    0.404721189650424584E+01    0.337170577049255349E+00    0.266902210855484023E+01    0.152086540398544106E+02    0.100000000000000000E+01
    0.307698774337768555E+01    0.544813537597656250E+01    0.174886423349380493E+01    0.399987122560804664E+01    0.703026754614815186E+01    0.191230440139770530E+00    0.227941619035505516E+01    0.714622724056243941E+00    0.261688668012619008E+01    0.150753874554376939E+02    0.100000000000000000E+01
    0.175815916061401367E+01    0.571984195709228516E+01    0.206432956457138062E+01    0.541108724735663227E+01    0.642603324402513021E+01    0.265572082996368419E+00    0.181210973537166598E+01    0.894097590446472190E+00    0.254591975617408739E+01    0.156602255006151818E+02    0.100000000000000000E+01
    0.597455024719238281E+01    0.718328619003295898E+01    0.398551407456398010E+01    0.559578202519896628E+01    0.774533491341117131E+01    0.280004656314849831E+00    0.175814887214444870E+01    0.964141279458999634E+00    0.228178466743230812E+01    0.147904963054948659E+02    0.100000000000000000E+01
    0.759855747222900391E+00    0.409145879745483398E+01    0.786325365304946899E+00    0.257152988861611442E+01    0.585961813139566345E+01    0.258001387119293213E+00    0.177277367924824114E+01    0.779638290405273438E+00    0.296396132624149322E+01    0.152186152955561091E+02    0.100000000000000000E+01
    0.170411300659179688E+01    0.744855546951293945E+01    0.589138227701187134E+01    0.664674720609108771E+01    0.719116539795144227E+01    0.131476509571075428E+00    0.330211309032676592E+01    0.863145112991333008E+00    0.270282009166479131E+01    0.153635340972521774E+02    0.100000000000000000E+01
    0.370125293731689453E+01    0.616508722305297852E+01    0.565714496374130249E+01    0.432139799074180075E+01    0.569912077855838817E+01    0.431059944629669234E+00    0.334084289258688916E+01    0.800937390327453591E+00    0.287403745859861370E+01    0.149875949466397724E+02    0.100000000000000000E+01
    0.460002899169921875E+01    0.443573093414306641E+01    0.122683349251747131E+01    0.303555580395230606E+01    0.330254475556800475E+01    0.246373689174652105E+00    0.168809879987602818E+01    0.403199106454849243E+00    0.273200194656848883E+01    0.147993705282493160E+02    0.100000000000000000E+01
    0.344216489791870117E+01    0.245075893402099609E+01    0.730204164981842041E+00    0.336200054884017918E+01    0.439239798287168437E+01    0.364987123012542769E+00    0.280537984130954499E+01    0.964725893735885576E+00    0.223634125858545296E+01    0.152457988874337147E+02    0.100000000000000000E+01
    0.433812236785888672E+01    0.586641788482666016E+00    0.361139330267906189E+01    0.529132973642697735E+01    0.806347533042822207E+01    0.437545669078826860E+00    0.177375350503435136E+01    0.740991950035095215E+00    0.303812791222333889E+01    0.148097314555836412E+02    0.100000000000000000E+01
    0.321007537841796875E+01    0.152738714218139648E+01    0.424804154038429260E+01    0.580952252988871898E+01    0.751155173400977194E+01    0.121951270103454593E+00    0.485129237255149448E+01    0.780696153640747070E+00    0.225501562762260432E+01    0.152417583703870960E+02    0.100000000000000000E+01
    0.259056043624877930E+01    0.223652744293212891E+01    0.138070690631866455E+01    0.428536912176343598E+01    0.563109569327094039E+01    0.369071018695831254E+00    0.308861139969973308E+01    0.748809838294982932E+00    0.286097617393732051E+01    0.152751471848830800E+02    0.100000000000000000E+01
    0.263282155990600586E+01    0.758137845993041992E+01    0.292394268512725830E+01    0.512655185380070400E+01    0.517723009193473960E+01    0.164966607093811057E+00    0.428134756545053996E+01    0.887767148017883256E+00    0.279303513669967662E+01    0.151379500390326882E+02    0.100000000000000000E+01
    0.265138244628906250E+01    0.337713813781738281E+01    0.421886581182479858E+01    0.650622446148142064E+01    0.685296246490618799E+01    0.368698835372924805E+00    0.191920106480911379E+01    0.330941736698150635E+00    0.280548248946666723E+01    0.153057448114304790E+02    0.100000000000000000E+01
    0.308996534347534180E+01    0.542434692382812500E+00    0.588887664675712585E+01    0.465152722965927357E+01    0.593738301068141006E+01    0.155915617942810059E+00    0.586865466546549452E+01    0.744280928373336814E+00    0.292821421563625339E+01    0.152472950324493528E+02    0.100000000000000000E+01
    0.275570487976074219E+01    0.734851217269897461E+01    0.333599480986595154E+01    0.484563875199031102E+01    0.611487151913100391E+01    0.225624084472656250E+00    0.250623625370440006E+01    0.933038169145584129E+00    0.245935232281684879E+01    0.149248419961908318E+02    0.100000000000000000E+01
    0.133983612060546875E+01    0.606858921051025391E+01    0.171163830161094666E+01    0.432642352069352309E+01    0.468689239671026403E+01    0.503705108165740989E+00    0.880498334616087774E+01    0.370324879884719849E+00    0.290409805792570097E+01    0.156476821874402834E+02    0.100000000000000000E+01
    0.186738061904907227E+01    0.134850978851318359E+00    0.377621951699256897E+01    0.704038273961979222E+01    0.724015402357083904E+01    0.288354015350341775E+00    0.604463265746890066E+01    0.601509410142898604E+00    0.248203096294403069E+01    0.154645266220238149E+02    0.100000000000000000E+01
    0.207718992233276367E+01    0.262930965423583984E+01    0.276002663373947144E+01    0.516578465180886148E+01    0.739964513592225437E+01    0.499012422561645463E+00    0.132285488148858761E+02    0.844617110490798906E+00    0.272255988454818709E+01    0.157033028159062003E+02    0.100000000000000000E+01
    0.472325992584228516E+01    0.619357633590698242E+01    0.953158318996429443E+00    0.744133881511788164E+01    0.747589332843033461E+01    0.423188233375549339E+00    0.156370361897407295E+01    0.418150919675827071E+00    0.261669352334737759E+01    0.147705823236382372E+02    0.100000000000000000E+01
    0.332992219924926758E+01    0.232421970367431641E+01    0.585818010568618774E+01    0.609172421596347746E+01    0.666176687652771271E+01    0.513753521442413374E+00    0.298255539816264115E+01    0.733737057447433449E+00    0.277691041690111184E+01    0.150314753484479890E+02    0.100000000000000000E+01
    0.315238857269287109E+01    0.602073001861572266E+01    0.686442065238952637E+01    0.446229342417098707E+01    0.601404141872070674E+01    0.290932297706604004E+00    0.152251251141681432E+01    0.777351170778274536E+00    0.231480263519287099E+01    0.149095387662812247E+02    0.100000000000000000E+01
    0.926818847656250000E-01    0.329701375961303711E+01    0.502873468399047852E+01    0.226568152144483781E+01    0.553853186810089682E+01    0.414573657512664839E+00    0.227791122918031075E+01    0.295407724380493175E+00    0.265017730408906926E+01    0.152312155692516669E+02    0.100000000000000000E+01
    0.152065992355346680E+01    0.122556114196777344E+01    0.591747212409973145E+01    0.279283846428740423E+01    0.547849987009475647E+01    0.477709031105041482E+00    0.154909588944389465E+01    0.870800673961639404E+00    0.246050276196002971E+01    0.153441584309289798E+02    0.100000000000000000E+01
    0.748634052276611328E+01    0.141026782989501953E+01    0.198010551929473877E+01    0.356999961084595263E+01    0.465378925127128973E+01    0.319098067283630382E+00    0.158894213807904117E+01    0.960390156507492043E+00    0.222783365637063957E+01    0.147130717754590226E+02    0.100000000000000000E+01
    0.163905477523803711E+01    0.184967851638793945E+01    0.758603993058204651E+01    0.625617892843859646E+01    0.705126113779358565E+01    0.389283466339111373E+00    0.159446032905310386E+01    0.272190093994140625E+00    0.290866277211904523E+01    0.153601571789149762E+02    0.100000000000000000E+01
    0.445784997940063477E+01    0.275862789154052734E+01    0.730799141526222229E+01    0.428768739669994581E+01    0.693214713447416209E+01    0.281603467464447033E+00    0.209600304973940155E+01    0.584158575534820534E+00    0.296550298756361030E+01    0.148760584162274263E+02    0.100000000000000000E+01
    0.215137529373168945E+01    0.849647521972656250E+00    0.771005812287330627E+01    0.529066656800929991E+01    0.742182083318530772E+01    0.269125866889953602E+00    0.238836470592303884E+01    0.493279916048049993E+00    0.258372342729568460E+01    0.152481977593994102E+02    0.100000000000000000E+01
    0.428013896942138672E+01    0.360990953445434570E+01    0.678777250647544861E+01    0.257228919136000878E+01    0.676602394721120959E+01    0.395478761196136452E+00    0.232057314276508553E+01    0.623172700405120850E+00    0.268780902165174496E+01    0.149424248183142190E+02    0.100000000000000000E+01
    0.250054550170898438E+01    0.793666648864746094E+01    0.795205014944076538E+01    0.231409695649411518E+01    0.815690283062684784E+01    0.291245973110198952E+00    0.192392301391341802E+01    0.470228743553161688E+00    0.255257766842842093E+01    0.148536310593952479E+02    0.100000000000000000E+01
    0.367186164855957031E+01    0.891000747680664062E+00    0.165311428904533386E+01    0.597217515000029397E+01    0.795140893577833197E+01    0.494454741477966309E+00    0.159950034796597129E+01    0.379018348455429144E+00    0.292563238203525522E+01    0.149179369743062988E+02    0.100000000000000000E+01
    0.357287693023681641E+01    0.661823272705078125E+01    0.124909761548042297E+01    0.554341742614662003E+01    0.619819668103200794E+01    0.517819213867187544E+00    0.328053771076202594E+01    0.676377534866333008E+00    0.238256053531169876E+01    0.151518341814948680E+02    0.100000000000000000E+01
    0.650324773788452148E+01    0.894974708557128906E+00    0.110669735074043274E+01    0.292028371290673494E+01    0.307158335950884309E+01    0.442132246494293168E+00    0.154132986284287332E+01    0.199878650903701771E+00    0.298246900457143793E+01    0.147271852735959570E+02    0.100000000000000000E+01
    0.541997528076171875E+01    0.144093751907348633E+01    0.424530300498008728E+01    0.667398198690925692E+01    0.740205205396450694E+01    0.269727003574371349E+00    0.167448156961546890E+01    0.847261983156204268E+00    0.250160917615890499E+01    0.147916557123489607E+02    0.100000000000000000E+01
    0.168228530883789062E+01    0.105679893493652344E+01    0.423188391327857971E+01    0.641420188808939251E+01    0.727519876397859466E+01    0.432545816898345925E+00    0.821657127789295316E+01    0.625807112455368020E+00    0.245325323432683939E+01    0.155274373058509827E+02    0.100000000000000000E+01
    0.171472835540771484E+01    0.521998357772827148E+01    0.108103397488594055E+01    0.295015414941344822E+01    0.522267384689630632E+01    0.469989418983459473E+00    0.276615478941461213E+01    0.456657731533050559E+00    0.234166569787263867E+01    0.150693891089774574E+02    0.100000000000000000E+01
    0.556418466567993164E+01    0.586479473114013672E+01    0.666983041167259216E+01    0.720741320856590395E+01    0.829375461543289916E+01    0.374881291389465354E+00    0.194769499638427379E+01    0.425610518455505349E+00    0.262612531268596650E+01    0.148091057083999118E+02    0.100000000000000000E+01
    0.184261417388916016E+01    0.402667140960693359E+01    0.298402506113052368E+01    0.241840764149315479E+01    0.595276267940373138E+01    0.256770038604736350E+00    0.160070645160246849E+01    0.566388726234436035E+00    0.267279602867364874E+01    0.150073196558737614E+02    0.100000000000000000E+01
    0.230556774139404297E+01    0.690877628326416016E+01    0.122769358754158020E+01    0.673241800536370327E+01    0.819470987137951035E+01    0.159957706928253174E+00    0.202367525609019738E+01    0.511698162555694558E+00    0.238339297676086392E+01    0.152708609304085847E+02    0.100000000000000000E+01
    0.349320840835571289E+01    0.288543701171875000E-01    0.572065699100494385E+01    0.372533085115930351E+01    0.690651351143094150E+01    0.223175442218780523E+00    0.340858535772070148E+01    0.596509343385696389E+00    0.275733802318573007E+01    0.152608334585467151E+02    0.100000000000000000E+01
