    0.689499616622924805E+01    0.332183933258056641E+01    0.385476577281951904E+01    0.526722759349975522E+01    0.722135596676116265E+01    0.145223817684409511E+07    0.124865174526116594E+02    0.353461176156997681E+01    0.222540920227766037E+01    0.147558666996132715E+02    0.100000000000000000E+01
    0.712619066238403320E+01    0.685618972778320312E+01    0.552795323729515076E+01    0.612954546443625148E+01    0.649100305923741772E+01    0.174110394442659235E+05    0.762930282252667458E+00    0.256629556417465210E+01    0.270199625295400603E+01    0.147105272209463163E+02    0.100000000000000000E+01
    0.427844429016113281E+01    0.324008083343505859E+01    0.447491797804832458E+01    0.298764688734157513E+01    0.337750563744396226E+01    0.133019026447578246E+06    0.145101073407495251E+01    0.495750933885574341E+01    0.224213798612356152E+01    0.148492570673717772E+02    0.100000000000000000E+01
    0.387396860122680664E+01    0.285168790817260742E+01    0.287849265336990356E+01    0.436847392742276419E+01    0.713259057926764228E+01    0.283305036513932981E+07    0.114233253017792147E+01    0.194520622491836548E+01    0.254456416702270483E+01    0.150405647360257984E+02    0.100000000000000000E+01
    0.649876594543457031E+01    0.406167507171630859E+00    0.131853196024894714E+01    0.337209435088153775E+01    0.512783427173960682E+01    0.109974790727794985E+07    0.106006983714919514E+02    0.318835049867630005E+01    0.273859088510274873E+01    0.147145293677138884E+02    0.100000000000000000E+01
    0.117981719970703125E+01    0.495913600921630859E+01    0.608901262283325195E+00    0.340536538259874000E+01    0.550872678823160555E+01    0.485810272631767111E+04    0.150522015919837271E+00    0.352622896432876587E+01    0.296189859199523919E+01    0.152040618209794491E+02    0.100000000000000000E+01
    0.727006626129150391E+01    0.170353507995605469E+01    0.585578757524490356E+01    0.254892884606738157E+01    0.258407550427836652E+01    0.550030137307050526E+08    0.493325125428412207E+03    0.377834439277648926E+01    0.282877961587905880E+01    0.147194143925385124E+02    0.100000000000000000E+01
    0.571780443191528320E+01    0.343420791625976562E+01    0.153142648935317993E+01    0.200490775234443541E+01    0.484886301232948647E+01    0.109601349789110045E+05    0.247348847543047770E-01    0.358429312705993652E+01    0.246151150894165038E+01    0.148905700071541371E+02    0.100000000000000000E+01
    0.268078994750976562E+01    0.652403497695922852E+01    0.694020915031433105E+01    0.478434767848140829E+01    0.531946217472659377E+01    0.256357144035997987E+07    0.152224274019011716E+02    0.473827332258224487E+01    0.249842849075794193E+01    0.150128216418364619E+02    0.100000000000000000E+01
    0.349168395996093750E+01    0.172128105163574219E+01    0.585872861742973328E+01    0.217617057303425288E+01    0.226103253552931438E+01    0.354769136813429650E+07    0.195943861434193508E+03    0.740498006343841553E+00    0.298820409601926817E+01    0.148011369577400504E+02    0.100000000000000000E+01
    0.481994771957397461E+01    0.957345962524414062E-01    0.662171962857246399E+01    0.348267997666623241E+01    0.379124204859014702E+01    0.929397793907299405E+06    0.134321052271422502E+03    0.196861028671264648E+00    0.236665584319829936E+01    0.148099502951687541E+02    0.100000000000000000E+01
