2.065431250926652584e+00 1.481946022127852380e+01
2.004287670924784770e+00 1.112298688353701692e+01
2.083054134335472263e+00 1.100463910588460692e+01
2.136530750960337066e+00 1.403232793097188313e+01
2.129127087655286132e+00 1.200869203583348899e+01
2.116687044237127946e+00 1.519090497973927611e+01
2.121725259788783013e+00 1.166640186747856589e+01
2.186221619051428977e+00 1.312667617071033987e+01
2.146961803873697949e+00 1.365370470728841568e+01
2.169038130908247375e+00 1.133765297170292286e+01
2.036474195441920543e+00 1.411155503682687673e+01
2.049342917155194232e+00 1.243659323253958071e+01
2.085120474035021765e+00 1.073887540117148909e+01
2.074215653544601690e+00 1.249769082693490851e+01
2.066516590778155749e+00 1.164202722384302646e+01
1.992271562399732465e+00 1.119388960949978795e+01
2.084101159729691677e+00 1.210042220736463392e+01
2.146957682029052350e+00 1.386282182372597305e+01
2.150852494881819954e+00 1.224190269924895347e+01
2.081033495801482669e+00 1.227174161345490511e+01
2.097872195895805980e+00 1.557210422508901004e+01
2.040495412006117615e+00 1.172958112903905459e+01
2.189182765412226228e+00 1.250410603108024432e+01
2.157612337991555940e+00 1.196534938915672264e+01
1.944186194753788621e+00 1.132855616086562023e+01
2.064091117380273843e+00 1.122682870238630315e+01
2.079682867973054350e+00 1.163179501551643114e+01
2.068594427105882261e+00 1.150241906334643183e+01
2.080061900990808343e+00 1.164037567090103487e+01
1.996510761453003102e+00 1.306400861323812634e+01
1.985783246043816730e+00 1.077332395051755753e+01
2.139499046894323797e+00 1.288962486132933449e+01
2.150082305795809834e+00 1.544849192679585137e+01
2.120922858448574644e+00 1.425066860398603197e+01
2.004089279432817339e+00 1.109248796823433381e+01
2.119915039057020945e+00 1.301867546637048534e+01
2.107440481441889890e+00 1.505352517255879619e+01
2.047012951352793930e+00 1.594696760361748744e+01
2.119589712573394014e+00 1.114651724308432534e+01
2.029244414564315147e+00 1.071599929449963717e+01
2.020714564967402538e+00 1.288200291525483721e+01
2.043906593443242325e+00 1.592814177246028073e+01
2.141300412792740193e+00 1.200612223135262013e+01
2.110676212021429965e+00 1.293909687744544890e+01
2.091040173502247690e+00 1.224566118211138033e+01
2.112379469929762887e+00 1.509800099217065217e+01
2.110942622296787086e+00 1.364035996411834617e+01
2.102377227090295175e+00 1.212852347864358826e+01
2.221775890428933309e+00 1.353054470581224855e+01
2.119493010196102922e+00 1.199931976116812749e+01
2.103650157164861589e+00 1.264473910378036692e+01
2.138904478672064791e+00 1.168833057924558005e+01
2.118178867475491778e+00 1.321867486268380176e+01
2.082120071181132737e+00 1.185686049237063244e+01
2.061095593430987361e+00 1.300383432266819028e+01
2.038761727173434402e+00 1.184895589828504470e+01
1.998283673893122891e+00 1.134603762625291168e+01
2.044361471078470771e+00 1.239917178083059213e+01
1.997304540189668742e+00 1.241187663782752892e+01
2.045997067714393935e+00 1.558109137463203808e+01
1.989388010111402982e+00 1.306364082935861326e+01
2.169123649751772298e+00 1.423521731127955192e+01
2.158526770293029085e+00 1.318686759792963059e+01
2.039344368115760808e+00 1.181605174447205187e+01
2.017115821110341045e+00 1.201962870743647827e+01
2.058343726120019923e+00 1.238277848186988095e+01
2.073577809224294466e+00 1.177362253533341097e+01
2.038744482053115092e+00 1.278388333352856243e+01
1.952808837692408206e+00 1.114130861806000183e+01
2.062944181320228498e+00 1.553340612125626308e+01
2.005992960010505310e+00 1.373827975981693506e+01
2.057903835311602592e+00 1.267815328604200964e+01
1.989709047234669903e+00 1.436731460990619169e+01
1.934112613638394151e+00 1.321633241896624966e+01
2.179253146414361630e+00 1.196112296210348092e+01
2.113135605807674899e+00 1.090507814566420919e+01
2.034252232357405266e+00 1.102390551297091648e+01
