    0.182259750366210938E+01    0.765101432800292969E+01    0.202858823537826538E+01    0.582760314277116809E+01    0.818912716839919241E+01    0.399103856086730935E+00    0.262634283019049164E+01    0.635871082544326782E+00    0.280045029234886167E+01    0.152602437545284726E+02    0.151990975645570732E+02   -0.744440071921381218E+03   -0.690775511231546968E+01    1
    0.235245704650878906E+00    0.332128858566284180E+01    0.170647281408309937E+01    0.158156938327244290E+01    0.436302952253226817E+01    0.479544627666473433E+00    0.388565164868903157E+01    0.767675155401229881E+00    0.245650668877363199E+01    0.152893192079221780E+02    0.153287624514297018E+02   -0.742242847344045003E+03   -0.690875511231548245E+01    1
    0.593716907501220703E+01    0.134659051895141602E+01    0.322852137684822083E+01    0.158886214780731705E+01    0.305359382821669678E+01    0.464121246337890647E+00    0.606649195679516851E+01    0.914570248126983620E+00    0.301207841557264322E+01    0.152741655811074377E+02    0.152531231066706514E+02   -0.741732021720279022E+03   -0.690975511231547301E+01    1
    0.203113317489624023E+01    0.524083757400512695E+01    0.217786881327629089E+01    0.721481006913517042E+01    0.783426507821003604E+01    0.329936373233795155E+00    0.235307603569893864E+01    0.957583278417587280E+00    0.275003986477851869E+01    0.150662293355848611E+02    0.156864622026493734E+02   -0.741667483199141429E+03   -0.691075511231547601E+01    1
    0.254378318786621094E+01    0.761967706680297852E+01    0.267416509985923767E+01    0.611189516854231041E+01    0.778965527947333491E+01    0.434075248241424516E+00    0.302057861751277468E+01    0.267291414737701460E+00    0.244024037802219373E+01    0.152406620755393458E+02    0.152260855208179997E+02   -0.741006084716896112E+03   -0.691175511231546658E+01    1
    0.714443778991699219E+01    0.643312120437622070E+01    0.317863407731056213E+01    0.471185463386684944E+01    0.752834587763090646E+01    0.484109675884246804E+00    0.179827690107736582E+01    0.962710428237915083E+00    0.228763007634878157E+01    0.147402967249655816E+02    0.147395999823927006E+02   -0.739588041657461645E+03   -0.691275511231547579E+01    1
    0.120126962661743164E+01    0.477769231796264648E+01    0.177014756202697754E+01    0.211003734929594211E+01    0.319089562181533815E+01    0.373180556297302291E+00    0.298880152237480878E+01    0.481135302782058738E+00    0.256909361040592188E+01    0.152268495730849249E+02    0.153999679861294521E+02   -0.739055576858592190E+03   -0.691375511231547435E+01    1
    0.689834022521972656E+01    0.284957647323608398E+01    0.135594922304153442E+01    0.167702953476070471E+01    0.661509766140038735E+01    0.407506680488586404E+00    0.207280743601777573E+01    0.636993533372879006E+00    0.221889951014518738E+01    0.152477925039149156E+02    0.150138456691245725E+02   -0.738540174567798772E+03   -0.691475511231548357E+01    1
    0.173408222198486328E+01    0.275638723373413086E+01    0.192006024718284607E+01    0.443061345765891623E+01    0.511491893052068036E+01    0.438101494312286399E+00    0.543631027745997386E+01    0.837011545896530151E+00    0.298162355780601507E+01    0.154001707400305339E+02    0.153452800602971564E+02   -0.738373963831277479E+03   -0.691575511231552209E+01    1
    0.366735363006591797E+01    0.680849075317382812E+00    0.151620227098464966E+01    0.427446340856100448E+01    0.814218693671754146E+01    0.448937082290649436E+00    0.191752319366784696E+01    0.367118996381759710E+00    0.245299818843603123E+01    0.148248072506465238E+02    0.148978859129260712E+02   -0.738103246190234813E+03   -0.691675511231554463E+01    1
    0.924506187438964844E-01    0.425155067443847656E+01    0.171709704399108887E+01    0.201429063270810849E+01    0.384023216305530157E+01    0.331981611251831010E+00    0.203412886643529545E+01    0.640661132335662797E+00    0.234374158924818010E+01    0.151169496667823360E+02    0.151519565188408105E+02   -0.738034843463350398E+03   -0.691775511231549967E+01    1
    0.599714946746826172E+01    0.130756330490112305E+01    0.788668605685234070E+01    0.172436796332493736E+01    0.577939205683384483E+01    0.388742446899414062E+00    0.277650166575375801E+01    0.900245589017867998E+00    0.239544262999296187E+01    0.152692205952639579E+02    0.152350596074303706E+02   -0.737229253467908961E+03   -0.691875511231549378E+01    1
    0.238717842102050781E+01    0.632843494415283203E+01    0.784913378953933716E+01    0.649375610352593835E+01    0.793364587244204866E+01    0.499628400802612282E+00    0.443648451683429457E+01    0.245463490486145020E+00    0.282737144881486913E+01    0.153004919799282266E+02    0.152773613902305829E+02   -0.736597400446401821E+03   -0.691975511231551454E+01    1
    0.227702379226684570E+01    0.308413362503051758E+01    0.200968134403228760E+01    0.576585373223204378E+01    0.820481493357342195E+01    0.408608424663543746E+00    0.339139891668724403E+01    0.849208891391754150E+00    0.274241110819578182E+01    0.155908623199496343E+02    0.153819651646826152E+02   -0.736567997941514363E+03   -0.692075511231548113E+01    1
    0.200931787490844727E+01    0.488517951965332031E+01    0.885085195302963257E+00    0.434547052537126799E+01    0.643844495064305189E+01    0.316189587116241455E+00    0.331483588469622736E+01    0.831702005863189653E+00    0.223683581483364069E+01    0.151909448669612956E+02    0.152254035627875446E+02   -0.736207365911520242E+03   -0.692175511231547080E+01    1
    0.559494543075561523E+01    0.361284112930297852E+01    0.143464434146881104E+01    0.476333449673229836E+01    0.696280455846883228E+01    0.263744068145751964E+00    0.162215588419823642E+01    0.889452379941940263E+00    0.249409508901834487E+01    0.147906245645514094E+02    0.147655092492464259E+02   -0.734080109339829164E+03   -0.692275511231549334E+01    1
