    0.508387943859527525E+01    0.433469047926767637E+01    0.342995520162988887E+01    0.240623294240373520E+01    0.319338174909754713E+01    0.473465389504200806E+00    0.266162285171082313E+01    0.567341125413808767E+00    0.276464064105153051E+01    0.150229464382434958E+02    0.149285010725439289E+02    0.149459079485271698E+02   -0.591654203868310358E+01
    0.366713247651107421E+01    0.632962482965073470E+01    0.909568961393522946E+00    0.237720967406330796E+01    0.709615069389796016E+01    0.512132415829979259E+00    0.368083033850948604E+01    0.685849354158837077E+00    0.263049433086534812E+01    0.152671149070999927E+02    0.150176832005613559E+02    0.150338222035522691E+02   -0.580649800053830489E+01
    0.769951993229960330E+01    0.504324091642351391E+01    0.592363967555102011E+01    0.331400774646750884E+01    0.635385687516006215E+01    0.449727298877014348E+00    0.252355222026201176E+01    0.229794043905122369E+00    0.285098867439435155E+01    0.150676222634174071E+02    0.149321734977232925E+02    0.149353417042006278E+02   -0.556257937245544998E+01
    0.194186052693494138E+01    0.172975678022722379E+01    0.558979472103870911E+01    0.302129621936850512E+01    0.647573380345707683E+01    0.334590698703869927E+00    0.233995231336647658E+01    0.725192003080618486E+00    0.224155778109885118E+01    0.151117342897511193E+02    0.149457298692336575E+02    0.149225391136537535E+02   -0.536845829072861935E+01
    0.515174266977299133E+01    0.555134781695093960E+01    0.667571272113498893E+01    0.265709530281950990E+01    0.511677602580366298E+01    0.381883196991868679E+00    0.242221370706565686E+01    0.576424534230048247E+00    0.244768823674762537E+01    0.153494346849660275E+02    0.148946630819932295E+02    0.149328755176664263E+02   -0.499654599435968638E+01
    0.429099915470392101E+01    0.218412706250440047E+01    0.682422058032491385E+01    0.490493395241909269E+01    0.565764652933744028E+01    0.359528950213404586E+00    0.279606407477069308E+01    0.848034482932896960E+00    0.256166845587129455E+01    0.150661366039240718E+02    0.148833200922196394E+02    0.149276300868592227E+02   -0.469131252712434588E+01
    0.732150391158298719E+00    0.528521166928373365E+00    0.568711185886902104E+01    0.281035184007767169E+01    0.717454344677256550E+01    0.248285975686870303E+00    0.192489682786824057E+01    0.631833103025140508E+00    0.255017938895389706E+01    0.152217928909853946E+02    0.149485954064608020E+02    0.149124978275265683E+02   -0.466062152287376463E+01
    0.543209886210964310E+01    0.915161213461990641E+00    0.751197506871815079E+01    0.664986650069657426E+01    0.709358920975179963E+01    0.378115615524435400E+00    0.202227928193186290E+01    0.266357790731540200E+00    0.220958418326468564E+01    0.149781766501384705E+02    0.148332058705767267E+02    0.148695042184565249E+02   -0.441425747477749209E+01
    0.451191770943212322E+01    0.983855566237733292E+00    0.643265086279346221E+01    0.272142308552853773E+01    0.520614690309965766E+01    0.403329906573563601E+00    0.291233708139248026E+01    0.439717849778900383E+00    0.244711872504841921E+01    0.152667869534495679E+02    0.150014184847971865E+02    0.150422544372309872E+02   -0.412274712522252251E+01
    0.714569207193907197E+01    0.495659308964605216E+01    0.583964051177619403E+01    0.340908523442374012E+01    0.432404346739055789E+01    0.367315296223506671E+00    0.284137097117794246E+01    0.676378810308082890E+00    0.255742925734416726E+01    0.153155983802823350E+02    0.149734848881919120E+02    0.149209485643271229E+02   -0.383381631135257450E+01
    0.483413029210226952E+01    0.475365923780595701E+01    0.448977637003793717E+01    0.524209804673707858E+01    0.632950572747249840E+01    0.237756429814531850E+00    0.157513283715492980E+01    0.688004755310628879E+00    0.226361597847306406E+01    0.151631040185779415E+02    0.147647028760635930E+02    0.147890589572097539E+02   -0.354043315120353030E+01
    0.687084557761084458E+01    0.622494155398504034E+01    0.627703413976153612E+01    0.352005291858912539E+01    0.537326286393636376E+01    0.302916451206214687E+00    0.205763863956625626E+01    0.403201471879211626E+00    0.248693782367473037E+01    0.151936500012377671E+02    0.149068071956546877E+02    0.149270338221187338E+02   -0.352566183479195949E+01
