# n,  X, eps, P, P_e, P_std
7.600000e-02 2.743203e-02 7.196129e+01 3.851960e-01 4.064528e-02 2.433770e-02
7.700000e-02 2.775803e-02 7.291144e+01 3.946316e-01 4.201661e-02 2.566872e-02
7.800000e-02 2.808366e-02 7.386166e+01 4.042943e-01 4.341568e-02 2.705422e-02
7.900000e-02 2.840887e-02 7.481194e+01 4.141897e-01 4.484256e-02 2.849569e-02
8.000000e-02 2.873360e-02 7.576228e+01 4.243237e-01 4.629733e-02 2.999466e-02
8.100000e-02 2.905780e-02 7.671270e+01 4.347016e-01 4.778006e-02 3.155269e-02
8.200000e-02 2.938145e-02 7.766318e+01 4.453293e-01 4.929080e-02 3.317135e-02
8.300000e-02 2.970448e-02 7.861373e+01 4.562121e-01 5.082962e-02 3.485223e-02
8.400000e-02 3.002686e-02 7.956434e+01 4.673558e-01 5.239654e-02 3.659695e-02
8.500000e-02 3.034854e-02 8.051503e+01 4.787657e-01 5.399162e-02 3.840717e-02
8.600000e-02 3.066950e-02 8.146580e+01 4.904473e-01 5.561488e-02 4.028453e-02
8.700000e-02 3.098968e-02 8.241663e+01 5.024061e-01 5.726634e-02 4.223074e-02
8.800000e-02 3.130904e-02 8.336754e+01 5.146475e-01 5.894603e-02 4.424749e-02
8.900000e-02 3.162756e-02 8.431852e+01 5.271768e-01 6.065396e-02 4.633653e-02
9.000000e-02 3.194519e-02 8.526958e+01 5.399993e-01 6.239012e-02 4.849962e-02
9.100000e-02 3.226191e-02 8.622072e+01 5.531204e-01 6.415451e-02 5.073853e-02
9.200000e-02 3.257767e-02 8.717194e+01 5.665452e-01 6.594713e-02 5.305508e-02
9.300000e-02 3.289244e-02 8.812324e+01 5.802790e-01 6.776796e-02 5.545108e-02
9.400000e-02 3.320619e-02 8.907463e+01 5.943270e-01 6.961697e-02 5.792840e-02
9.500000e-02 3.351890e-02 9.002610e+01 6.086943e-01 7.149415e-02 6.048891e-02
9.600000e-02 3.383052e-02 9.097765e+01 6.233860e-01 7.339944e-02 6.313451e-02
9.700000e-02 3.414103e-02 9.192929e+01 6.384071e-01 7.533281e-02 6.586713e-02
9.800000e-02 3.445040e-02 9.288102e+01 6.537627e-01 7.729422e-02 6.868871e-02
9.900000e-02 3.475860e-02 9.383285e+01 6.694577e-01 7.928361e-02 7.160123e-02
1.000000e-01 3.506561e-02 9.478476e+01 6.854971e-01 8.130092e-02 7.460668e-02
1.010000e-01 3.537140e-02 9.573677e+01 7.018857e-01 8.334609e-02 7.770709e-02
1.020000e-01 3.567594e-02 9.668888e+01 7.186284e-01 8.541904e-02 8.090450e-02
1.030000e-01 3.597920e-02 9.764109e+01 7.357300e-01 8.751969e-02 8.420099e-02
1.040000e-01 3.628117e-02 9.859340e+01 7.531953e-01 8.964797e-02 8.759864e-02
1.050000e-01 3.658183e-02 9.954581e+01 7.710290e-01 9.180379e-02 9.109957e-02
1.060000e-01 3.688113e-02 1.004983e+02 7.892357e-01 9.398705e-02 9.470595e-02
1.070000e-01 3.717907e-02 1.014510e+02 8.078202e-01 9.619764e-02 9.841992e-02
1.080000e-01 3.747562e-02 1.024037e+02 8.267870e-01 9.843548e-02 1.022437e-01
1.090000e-01 3.777077e-02 1.033565e+02 8.461406e-01 1.007004e-01 1.061795e-01
1.100000e-01 3.806448e-02 1.043095e+02 8.658856e-01 1.029924e-01 1.102295e-01
1.110000e-01 3.835674e-02 1.052626e+02 8.860264e-01 1.053112e-01 1.143961e-01
1.120000e-01 3.864753e-02 1.062158e+02 9.065675e-01 1.076569e-01 1.186815e-01
1.130000e-01 3.893683e-02 1.071691e+02 9.275132e-01 1.100291e-01 1.230881e-01
1.140000e-01 3.922462e-02 1.081225e+02 9.488680e-01 1.124278e-01 1.276181e-01
1.150000e-01 3.951088e-02 1.090761e+02 9.706360e-01 1.148528e-01 1.322740e-01
1.160000e-01 3.979560e-02 1.100298e+02 9.928215e-01 1.173041e-01 1.370582e-01
1.170000e-01 4.007875e-02 1.109836e+02 1.015429e+00 1.197814e-01 1.419731e-01
1.180000e-01 4.036032e-02 1.119376e+02 1.038462e+00 1.222845e-01 1.470211e-01
1.190000e-01 4.064029e-02 1.128917e+02 1.061925e+00 1.248134e-01 1.522047e-01
1.200000e-01 4.091864e-02 1.138459e+02 1.085823e+00 1.273678e-01 1.575264e-01
1.210000e-01 4.119537e-02 1.148003e+02 1.110159e+00 1.299475e-01 1.629888e-01
1.220000e-01 4.147044e-02 1.157548e+02 1.134937e+00 1.325525e-01 1.685944e-01
1.230000e-01 4.174386e-02 1.167095e+02 1.160161e+00 1.351824e-01 1.743458e-01
1.240000e-01 4.201559e-02 1.176643e+02 1.185835e+00 1.378371e-01 1.802455e-01
1.250000e-01 4.228562e-02 1.186192e+02 1.211963e+00 1.405164e-01 1.862963e-01
1.260000e-01 4.255395e-02 1.195744e+02 1.238549e+00 1.432201e-01 1.925007e-01
1.270000e-01 4.282055e-02 1.205296e+02 1.265597e+00 1.459480e-01 1.988615e-01
1.280000e-01 4.308542e-02 1.214851e+02 1.293110e+00 1.486999e-01 2.053814e-01
1.290000e-01 4.334852e-02 1.224407e+02 1.321092e+00 1.514755e-01 2.120632e-01
1.300000e-01 4.360986e-02 1.233964e+02 1.349547e+00 1.542747e-01 2.189095e-01
1.310000e-01 4.386942e-02 1.243524e+02 1.378479e+00 1.570971e-01 2.259232e-01
1.320000e-01 4.412718e-02 1.253085e+02 1.407891e+00 1.599426e-01 2.331071e-01
1.330000e-01 4.438312e-02 1.262648e+02 1.437786e+00 1.628109e-01 2.404641e-01
1.340000e-01 4.463724e-02 1.272212e+02 1.468169e+00 1.657018e-01 2.479970e-01
1.350000e-01 4.488953e-02 1.281779e+02 1.499042e+00 1.686149e-01 2.557088e-01
1.360000e-01 4.513996e-02 1.291347e+02 1.530410e+00 1.715502e-01 2.636024e-01
1.370000e-01 4.538852e-02 1.300917e+02 1.562275e+00 1.745072e-01 2.716806e-01
1.380000e-01 4.563521e-02 1.310489e+02 1.594641e+00 1.774857e-01 2.799467e-01
1.390000e-01 4.588000e-02 1.320063e+02 1.627511e+00 1.804855e-01 2.884034e-01
1.400000e-01 4.612289e-02 1.329638e+02 1.660890e+00 1.835062e-01 2.970540e-01
1.410000e-01 4.636386e-02 1.339216e+02 1.694779e+00 1.865476e-01 3.059015e-01
1.420000e-01 4.660290e-02 1.348796e+02 1.729182e+00 1.896094e-01 3.149489e-01
1.430000e-01 4.683999e-02 1.358378e+02 1.764103e+00 1.926913e-01 3.241993e-01
1.440000e-01 4.707512e-02 1.367962e+02 1.799544e+00 1.957929e-01 3.336561e-01
1.450000e-01 4.730828e-02 1.377548e+02 1.835509e+00 1.989140e-01 3.433223e-01
1.460000e-01 4.753946e-02 1.387136e+02 1.872001e+00 2.020542e-01 3.532012e-01
1.470000e-01 4.776864e-02 1.396726e+02 1.909023e+00 2.052133e-01 3.632960e-01
1.480000e-01 4.799581e-02 1.406318e+02 1.946578e+00 2.083908e-01 3.736099e-01
1.490000e-01 4.822096e-02 1.415913e+02 1.984669e+00 2.115866e-01 3.841463e-01
1.500000e-01 4.844407e-02 1.425510e+02 2.023299e+00 2.148001e-01 3.949086e-01
1.510000e-01 4.866513e-02 1.435109e+02 2.062470e+00 2.180311e-01 4.059000e-01
1.520000e-01 4.888413e-02 1.444711e+02 2.102186e+00 2.212793e-01 4.171240e-01
1.530000e-01 4.910106e-02 1.454314e+02 2.142451e+00 2.245442e-01 4.285840e-01
1.540000e-01 4.931589e-02 1.463921e+02 2.183265e+00 2.278256e-01 4.402835e-01
1.550000e-01 4.952863e-02 1.473529e+02 2.224633e+00 2.311229e-01 4.522258e-01
1.560000e-01 4.973926e-02 1.483140e+02 2.266557e+00 2.344359e-01 4.644146e-01
1.570000e-01 4.994775e-02 1.492754e+02 2.309039e+00 2.377643e-01 4.768534e-01
1.580000e-01 5.015411e-02 1.502370e+02 2.352084e+00 2.411075e-01 4.895457e-01
1.590000e-01 5.035832e-02 1.511988e+02 2.395692e+00 2.444652e-01 5.024952e-01
1.600000e-01 5.056036e-02 1.521609e+02 2.439867e+00 2.478370e-01 5.157054e-01
1.610000e-01 5.076023e-02 1.531233e+02 2.484612e+00 2.512225e-01 5.291801e-01
1.620000e-01 5.095790e-02 1.540859e+02 2.529928e+00 2.546213e-01 5.429229e-01
1.630000e-01 5.115337e-02 1.550488e+02 2.575819e+00 2.580330e-01 5.569376e-01
1.640000e-01 5.134663e-02 1.560119e+02 2.622287e+00 2.614571e-01 5.712279e-01
1.650000e-01 5.153766e-02 1.569754e+02 2.669335e+00 2.648933e-01 5.857975e-01
1.660000e-01 5.172644e-02 1.579391e+02 2.716964e+00 2.683411e-01 6.006504e-01
1.670000e-01 5.191297e-02 1.589030e+02 2.765178e+00 2.718000e-01 6.157903e-01
1.680000e-01 5.209724e-02 1.598673e+02 2.813978e+00 2.752696e-01 6.312211e-01
1.690000e-01 5.227922e-02 1.608318e+02 2.863368e+00 2.787495e-01 6.469469e-01
1.700000e-01 5.245891e-02 1.617967e+02 2.913348e+00 2.822392e-01 6.629713e-01
1.710000e-01 5.263630e-02 1.627618e+02 2.963922e+00 2.857383e-01 6.792986e-01
1.720000e-01 5.281137e-02 1.637272e+02 3.015092e+00 2.892462e-01 6.959326e-01
1.730000e-01 5.298411e-02 1.646929e+02 3.066860e+00 2.927625e-01 7.128774e-01
1.740000e-01 5.315451e-02 1.656589e+02 3.119228e+00 2.962868e-01 7.301370e-01
1.750000e-01 5.332255e-02 1.666252e+02 3.172198e+00 2.998186e-01 7.477157e-01
1.760000e-01 5.348822e-02 1.675918e+02 3.225772e+00 3.033573e-01 7.656174e-01
1.770000e-01 5.365151e-02 1.685587e+02 3.279953e+00 3.069024e-01 7.838464e-01
1.780000e-01 5.381241e-02 1.695260e+02 3.334741e+00 3.104536e-01 8.024068e-01
1.790000e-01 5.397091e-02 1.704935e+02 3.390140e+00 3.140102e-01 8.213030e-01
1.800000e-01 5.412699e-02 1.714614e+02 3.446151e+00 3.175718e-01 8.405391e-01
1.810000e-01 5.428064e-02 1.724295e+02 3.502776e+00 3.211379e-01 8.601194e-01
1.820000e-01 5.443185e-02 1.733981e+02 3.560016e+00 3.247079e-01 8.800484e-01
1.830000e-01 5.458060e-02 1.743669e+02 3.617874e+00 3.282813e-01 9.003302e-01
1.840000e-01 5.472690e-02 1.753361e+02 3.676351e+00 3.318576e-01 9.209695e-01
1.850000e-01 5.487071e-02 1.763056e+02 3.735449e+00 3.354363e-01 9.419704e-01
1.860000e-01 5.501204e-02 1.772754e+02 3.795170e+00 3.390168e-01 9.633377e-01
1.870000e-01 5.515087e-02 1.782456e+02 3.855514e+00 3.425986e-01 9.850757e-01
1.880000e-01 5.528719e-02 1.792161e+02 3.916484e+00 3.461812e-01 1.007189e+00
1.890000e-01 5.542098e-02 1.801869e+02 3.978081e+00 3.497640e-01 1.029682e+00
1.900000e-01 5.555224e-02 1.811582e+02 4.040307e+00 3.533465e-01 1.052559e+00
1.910000e-01 5.568096e-02 1.821297e+02 4.103162e+00 3.569280e-01 1.075826e+00
1.920000e-01 5.580713e-02 1.831016e+02 4.166649e+00 3.605081e-01 1.099486e+00
1.930000e-01 5.593073e-02 1.840739e+02 4.230768e+00 3.640862e-01 1.123545e+00
1.940000e-01 5.605175e-02 1.850465e+02 4.295521e+00 3.676618e-01 1.148007e+00
1.950000e-01 5.617019e-02 1.860195e+02 4.360909e+00 3.712342e-01 1.172877e+00
1.960000e-01 5.628603e-02 1.869929e+02 4.426932e+00 3.748028e-01 1.198159e+00
1.970000e-01 5.639926e-02 1.879666e+02 4.493593e+00 3.783673e-01 1.223859e+00
1.980000e-01 5.650988e-02 1.889408e+02 4.560891e+00 3.819268e-01 1.249982e+00
1.990000e-01 5.661788e-02 1.899152e+02 4.628829e+00 3.854810e-01 1.276532e+00
2.000000e-01 5.672324e-02 1.908901e+02 4.697406e+00 3.890291e-01 1.303514e+00
2.010000e-01 5.682595e-02 1.918654e+02 4.766623e+00 3.925707e-01 1.330934e+00
2.020000e-01 5.692602e-02 1.928410e+02 4.836482e+00 3.961050e-01 1.358796e+00
2.030000e-01 5.702342e-02 1.938170e+02 4.906983e+00 3.996317e-01 1.387105e+00
2.040000e-01 5.711815e-02 1.947934e+02 4.978127e+00 4.031500e-01 1.415867e+00
2.050000e-01 5.721021e-02 1.957702e+02 5.049913e+00 4.066593e-01 1.445086e+00
2.060000e-01 5.729958e-02 1.967474e+02 5.122343e+00 4.101592e-01 1.474768e+00
2.070000e-01 5.738626e-02 1.977250e+02 5.195417e+00 4.136489e-01 1.504918e+00
2.080000e-01 5.747023e-02 1.987031e+02 5.269135e+00 4.171280e-01 1.535542e+00
2.090000e-01 5.755150e-02 1.996815e+02 5.343497e+00 4.205958e-01 1.566643e+00
2.100000e-01 5.763005e-02 2.006603e+02 5.418505e+00 4.240517e-01 1.598229e+00
2.110000e-01 5.770589e-02 2.016395e+02 5.494156e+00 4.274951e-01 1.630303e+00
2.120000e-01 5.777899e-02 2.026192e+02 5.570453e+00 4.309255e-01 1.662873e+00
2.130000e-01 5.784936e-02 2.035992e+02 5.647394e+00 4.343422e-01 1.695942e+00
2.140000e-01 5.791700e-02 2.045797e+02 5.724980e+00 4.377446e-01 1.729516e+00
2.150000e-01 5.798188e-02 2.055606e+02 5.803210e+00 4.411323e-01 1.763602e+00
2.160000e-01 5.804402e-02 2.065420e+02 5.882084e+00 4.445045e-01 1.798204e+00
2.170000e-01 5.810340e-02 2.075237e+02 5.961601e+00 4.478607e-01 1.833328e+00
2.180000e-01 5.816003e-02 2.085059e+02 6.041762e+00 4.512002e-01 1.868979e+00
2.190000e-01 5.821389e-02 2.094886e+02 6.122565e+00 4.545226e-01 1.905164e+00
2.200000e-01 5.826498e-02 2.104716e+02 6.204010e+00 4.578272e-01 1.941888e+00
2.210000e-01 5.831330e-02 2.114552e+02 6.286097e+00 4.611135e-01 1.979156e+00
2.220000e-01 5.835885e-02 2.124391e+02 6.368823e+00 4.643808e-01 2.016975e+00
2.230000e-01 5.840162e-02 2.134235e+02 6.452189e+00 4.676285e-01 2.055350e+00
2.240000e-01 5.844161e-02 2.144083e+02 6.536193e+00 4.708562e-01 2.094287e+00
2.250000e-01 5.847882e-02 2.153936e+02 6.620835e+00 4.740632e-01 2.133793e+00
2.260000e-01 5.851325e-02 2.163794e+02 6.706113e+00 4.772489e-01 2.173872e+00
2.270000e-01 5.854489e-02 2.173656e+02 6.792025e+00 4.804128e-01 2.214531e+00
2.280000e-01 5.857375e-02 2.183523e+02 6.878570e+00 4.835543e-01 2.255776e+00
2.290000e-01 5.859982e-02 2.193394e+02 6.965748e+00 4.866728e-01 2.297613e+00
2.300000e-01 5.862310e-02 2.203270e+02 7.053556e+00 4.897678e-01 2.340048e+00
2.310000e-01 5.864359e-02 2.213151e+02 7.141992e+00 4.928387e-01 2.383087e+00
2.320000e-01 5.866130e-02 2.223036e+02 7.231055e+00 4.958850e-01 2.426736e+00
2.330000e-01 5.867622e-02 2.232926e+02 7.320743e+00 4.989062e-01 2.471002e+00
2.340000e-01 5.868835e-02 2.242821e+02 7.411054e+00 5.019015e-01 2.515891e+00
2.350000e-01 5.869770e-02 2.252720e+02 7.501985e+00 5.048707e-01 2.561408e+00
2.360000e-01 5.870427e-02 2.262624e+02 7.593535e+00 5.078130e-01 2.607561e+00
2.370000e-01 5.870806e-02 2.272534e+02 7.685701e+00 5.107279e-01 2.654356e+00
2.380000e-01 5.870907e-02 2.282448e+02 7.778481e+00 5.136150e-01 2.701799e+00
2.390000e-01 5.870730e-02 2.292366e+02 7.871872e+00 5.164738e-01 2.749897e+00
2.400000e-01 5.870276e-02 2.302290e+02 7.965872e+00 5.193036e-01 2.798655e+00
