# n,  X, eps, P, P_e, P_std
1.000000e-02 7.921457e-03 9.425240e+00 -3.238202e-02 5.190098e-04 1.458170e-06
1.100000e-02 8.011020e-03 1.036892e+01 -2.406278e-02 5.982566e-04 2.207351e-06
1.200000e-02 8.132382e-03 1.131278e+01 -1.602255e-02 6.854706e-04 3.223279e-06
1.300000e-02 8.278880e-03 1.225682e+01 -8.254707e-03 7.810625e-04 4.566603e-06
1.400000e-02 8.445688e-03 1.320103e+01 -7.513147e-04 8.854378e-04 6.305291e-06
1.500000e-02 8.629206e-03 1.414541e+01 6.496429e-03 9.989970e-04 8.514855e-06
1.600000e-02 8.826686e-03 1.508995e+01 1.349793e-02 1.122135e-03 1.127858e-05
1.700000e-02 9.035984e-03 1.603465e+01 2.026303e-02 1.255240e-03 1.468774e-05
1.800000e-02 9.255393e-03 1.697950e+01 2.680184e-02 1.398695e-03 1.884178e-05
1.900000e-02 9.483534e-03 1.792451e+01 3.312472e-02 1.552875e-03 2.384856e-05
2.000000e-02 9.719272e-03 1.886966e+01 3.924216e-02 1.718151e-03 2.982451e-05
2.100000e-02 9.961665e-03 1.981495e+01 4.516475e-02 1.894882e-03 3.689484e-05
2.200000e-02 1.020991e-02 2.076038e+01 5.090315e-02 2.083423e-03 4.519372e-05
2.300000e-02 1.046334e-02 2.170594e+01 5.646809e-02 2.284121e-03 5.486447e-05
2.400000e-02 1.072136e-02 2.265163e+01 6.187027e-02 2.497313e-03 6.605973e-05
2.500000e-02 1.098346e-02 2.359745e+01 6.712042e-02 2.723330e-03 7.894162e-05
2.600000e-02 1.124919e-02 2.454339e+01 7.222926e-02 2.962493e-03 9.368194e-05
2.700000e-02 1.151817e-02 2.548944e+01 7.720746e-02 3.215116e-03 1.104623e-04
2.800000e-02 1.179003e-02 2.643561e+01 8.206566e-02 3.481505e-03 1.294744e-04
2.900000e-02 1.206447e-02 2.738190e+01 8.681446e-02 3.761956e-03 1.509200e-04
3.000000e-02 1.234119e-02 2.832829e+01 9.146438e-02 4.056758e-03 1.750111e-04
3.100000e-02 1.261996e-02 2.927478e+01 9.602590e-02 4.366192e-03 2.019705e-04
3.200000e-02 1.290053e-02 3.022138e+01 1.005094e-01 4.690530e-03 2.320313e-04
3.300000e-02 1.318269e-02 3.116808e+01 1.049252e-01 5.030038e-03 2.654376e-04
3.400000e-02 1.346626e-02 3.211487e+01 1.092836e-01 5.384971e-03 3.024442e-04
3.500000e-02 1.375105e-02 3.306176e+01 1.135947e-01 5.755579e-03 3.433174e-04
3.600000e-02 1.403690e-02 3.400874e+01 1.178685e-01 6.142104e-03 3.883344e-04
3.700000e-02 1.432367e-02 3.495581e+01 1.221150e-01 6.544781e-03 4.377838e-04
3.800000e-02 1.461122e-02 3.590297e+01 1.263440e-01 6.963838e-03 4.919660e-04
3.900000e-02 1.489943e-02 3.685021e+01 1.305653e-01 7.399495e-03 5.511929e-04
4.000000e-02 1.518817e-02 3.779753e+01 1.347885e-01 7.851967e-03 6.157882e-04
4.100000e-02 1.547735e-02 3.874494e+01 1.390231e-01 8.321463e-03 6.860876e-04
4.200000e-02 1.576687e-02 3.969242e+01 1.432786e-01 8.808186e-03 7.624388e-04
4.300000e-02 1.605663e-02 4.063998e+01 1.475642e-01 9.312333e-03 8.452023e-04
4.400000e-02 1.634656e-02 4.158762e+01 1.518890e-01 9.834095e-03 9.347502e-04
